Provider,Specialty,City,State,Payments
COLORADO PATHOLOGY CONSULTANTS PC,Clinical Laboratory,ARVADA,CO,"$824,174.81"
"ESFAHANI, REZA S",General Practice,ARVADA,CO,"$252,393.31"
"DUVALL, JOHN A",Ophthalmology,ARVADA,CO,"$181,036.41"
"YALAVARTHY, RAJESH",Nephrology,ARVADA,CO,"$155,601.03"
"SINGH, HARMEET",Nephrology,ARVADA,CO,"$121,818.62"
"CHANG, ANNIE",Ophthalmology,ARVADA,CO,"$120,488.65"
"GILLUM, DAVID M",Nephrology,ARVADA,CO,"$109,210.66"
"GORMAN, DARRELL E",Internal Medicine,ARVADA,CO,"$103,173.26"
"WYRICK, CLAUDIA B",Family Practice,ARVADA,CO,"$100,428.50"
"VAN DIJK, CLAUDIA M",Nephrology,ARVADA,CO,"$89,565.11"
"SCHAFFER, DANIEL A",Pathology,ARVADA,CO,"$87,732.29"
"CORRIGAN, GERALDINE",Nephrology,ARVADA,CO,"$87,657.30"
"BEZECNY, JOSHUA A",Physician Assistant,ARVADA,CO,"$77,102.92"
"GESSNER, WIESLAW P",Interventional Pain Management,ARVADA,CO,"$75,131.96"
"POCSINE, KATALIN J",Neurology,ARVADA,CO,"$74,492.33"
"IVES, MARTHA M",Internal Medicine,ARVADA,CO,"$72,427.23"
"SCALES, JAMES S",Podiatry,ARVADA,CO,"$71,499.67"
"OBRIAN, PAUL D",Physical Therapist,ARVADA,CO,"$65,762.68"
"HOPFENBACK, JAMES A",Pathology,ARVADA,CO,"$65,457.35"
"WAY, DEBORAH E",Family Practice,ARVADA,CO,"$59,981.20"
"TAYLOR, MARY",Physical Therapist,ARVADA,CO,"$58,250.53"
"TARKANIAN, CYNTHIA N",Ophthalmology,ARVADA,CO,"$49,339.18"
"KUBISTA, JENNIFER R",Family Practice,ARVADA,CO,"$46,735.61"
"VANKOOTEN, DAVID W",Otolaryngology,ARVADA,CO,"$43,456.99"
"CORKILL, MARY E",Pathology,ARVADA,CO,"$42,997.18"
"SIMON, ROBERT B",Family Practice,ARVADA,CO,"$42,683.71"
"PUSHCHAK, MICHAEL J",Pathology,ARVADA,CO,"$40,972.07"
"GOLDBERG, ELLICE K",Family Practice,ARVADA,CO,"$38,270.81"
"WEST, CYDNEY N",Family Practice,ARVADA,CO,"$36,673.52"
"HARTEMINK, DAVID A",Otolaryngology,ARVADA,CO,"$34,133.51"
"OLSHOCK, RICHARD C",Pathology,ARVADA,CO,"$33,086.27"
"VISLOSKY, DAVID A",Physical Therapist,ARVADA,CO,"$31,147.13"
"BARRE, LISHA C",Physical Medicine and Rehabilitation,ARVADA,CO,"$29,761.57"
"MCFARLAND, BRUCE D",Family Practice,ARVADA,CO,"$29,353.56"
"PRIME PATHOLOGY LABORATORIES, LLC",Clinical Laboratory,ARVADA,CO,"$29,157.11"
"BASHFORD, STEPHEN P",Optometry,ARVADA,CO,"$27,195.77"
"DO, DUNG T",Physical Therapist,ARVADA,CO,"$24,402.75"
"HARBERSON, DAVID A",Physical Therapist,ARVADA,CO,"$24,046.45"
"DEVEREUX, JANESSA A",Physical Therapist,ARVADA,CO,"$23,538.82"
"DO, SANDRA A",Physical Therapist,ARVADA,CO,"$23,488.53"
"GREEN, JUSTIN W",Chiropractic,ARVADA,CO,"$20,215.33"
"IRELAND, CYNTHIA J",Internal Medicine,ARVADA,CO,"$19,528.49"
"CROSS, JOHN C",Optometry,ARVADA,CO,"$18,297.34"
"BROWN, SALLY",Occupational therapist,ARVADA,CO,"$16,264.46"
"KAPLAN, NAOMI",Licensed Clinical Social Worker,ARVADA,CO,"$15,673.04"
"JEFFERSON, PHYLLIS E",Nurse Practitioner,ARVADA,CO,"$15,486.76"
"COX, WILLIAM F",Pathology,ARVADA,CO,"$14,012.31"
"THOMPSON, JAMES D",Emergency Medicine,ARVADA,CO,"$13,628.17"
"TEMPLE, STEVEN J",Pathology,ARVADA,CO,"$13,492.62"
"GUNDERSON, GLEN A",Optometry,ARVADA,CO,"$12,496.91"
"SPRESSER, KEN D",Chiropractic,ARVADA,CO,"$12,461.84"
"LEWIS, AARON P",Physician Assistant,ARVADA,CO,"$12,435.56"
"MOHATT, MEGAN",Physician Assistant,ARVADA,CO,"$12,192.72"
